Frequency (Hz) - Phase	Phase - Phase	
28600,2	1,21218	
28700,3	1,38244	
28700,2	0,978994	
28800,3	1,03133	
28900,3	1,24227	
28900,3	1,31279	
29000,3	1,26651	
29000,3	1,21532	
29100,2	1,17048	
29200,2	1,35755	
29200,2	1,25958	
29300,2	1,1362	
29300,2	1,2822	
29400,2	1,52117	
29500,3	1,07564	
29500,3	1,07897	
29600,3	1,45803	
29600,3	1,14271	
29700,3	1,04217	
29800,3	1,07081	
29800,4	1,17062	
29900,2	1,10527	
29900,2	1,28521	
30000,2	1,45597	
